stocks
"{'symbol': 'AAPL', 'name': 'Apple Inc.', 'price': 142.45, 'change': -1.23, 'percent_change': -0.85, 'volume': 25678432, 'date': '2024-06-15'}"
"{'symbol': 'GOOGL', 'name': 'Alphabet Inc.', 'price': 2731.2, 'change': 12.45, 'percent_change': 0.46, 'volume': 1568945, 'date': '2024-06-15'}"
"{'symbol': 'MSFT', 'name': 'Microsoft Corporation', 'price': 378.9, 'change': 5.67, 'percent_change': 1.52, 'volume': 20378456, 'date': '2024-06-15'}"
"{'symbol': 'AMZN', 'name': 'Amazon.com Inc.', 'price': 3298.5, 'change': -18.75, 'percent_change': -0.57, 'volume': 3987456, 'date': '2024-06-15'}"
"{'symbol': 'TSLA', 'name': 'Tesla Inc.', 'price': 679.4, 'change': 8.2, 'percent_change': 1.22, 'volume': 7845963, 'date': '2024-06-15'}"
"{'symbol': 'NVDA', 'name': 'NVIDIA Corporation', 'price': 315.75, 'change': -2.15, 'percent_change': -0.68, 'volume': 5698741, 'date': '2024-06-15'}"
"{'symbol': 'FB', 'name': 'Meta Platforms Inc.', 'price': 345.6, 'change': 6.75, 'percent_change': 1.99, 'volume': 2345678, 'date': '2024-06-15'}"
"{'symbol': 'NFLX', 'name': 'Netflix Inc.', 'price': 412.3, 'change': -3.45, 'percent_change': -0.83, 'volume': 1789456, 'date': '2024-06-15'}"
"{'symbol': 'CRM', 'name': 'Salesforce.com Inc.', 'price': 260.15, 'change': 4.2, 'percent_change': 1.64, 'volume': 1324567, 'date': '2024-06-15'}"
"{'symbol': 'PYPL', 'name': 'PayPal Holdings Inc.', 'price': 285.8, 'change': 0.9, 'percent_change': 0.32, 'volume': 2456789, 'date': '2024-06-15'}"
"{'symbol': 'V', 'name': 'Visa Inc.', 'price': 234.75, 'change': -1.5, 'percent_change': -0.63, 'volume': 1894567, 'date': '2024-06-15'}"
"{'symbol': 'NVDA', 'name': 'NVIDIA Corporation', 'price': 315.75, 'change': -2.15, 'percent_change': -0.68, 'volume': 5698741, 'date': '2024-06-15'}"
"{'symbol': 'INTC', 'name': 'Intel Corporation', 'price': 56.3, 'change': 0.25, 'percent_change': 0.45, 'volume': 3456789, 'date': '2024-06-15'}"
